formid,7  Crop(s) planted | None,7  Crop(s) planted | Groundnut,7  Crop(s) planted | Maize,7  Crop(s) planted | Rice,7  Crop(s) planted | Sorghum,7  Crop(s) planted | extra,8  Farm-related problem reported by the farmer | None,8  Farm-related problem reported by the farmer | Disease_outbreak_(Specify),8  Farm-related problem reported by the farmer | Pest_Attack_(Specify),8  Farm-related problem reported by the farmer | Soil_degradation,8  Farm-related problem reported by the farmer | Water_Scarcity,8  Farm-related problem reported by the farmer | Weed_Infestation,8  Farm-related problem reported by the farmer | Others,8  Farm-related problem reported by the farmer | extra,Cooperative_Unique_ID,received_on,6  Ongoing farm activity at the time of visit | None,6  Ongoing farm activity at the time of visit | Site_Selection,6  Ongoing farm activity at the time of visit | Land_Measurement,6  Ongoing farm activity at the time of visit | Land_Clearing,6  Ongoing farm activity at the time of visit | First_herbicide_application,6  Ongoing farm activity at the time of visit | Ploughing_Harrowing_Tilling,6  Ongoing farm activity at the time of visit | Preparation_of_Nursery_,6  Ongoing farm activity at the time of visit | Planting,6  Ongoing farm activity at the time of visit | Transplanting,6  Ongoing farm activity at the time of visit | Gap_control_(Replacement_of_un-germinated_plants),6  Ongoing farm activity at the time of visit | Mulching,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_1,6  Ongoing farm activity at the time of visit | NPK_Application,6  Ongoing farm activity at the time of visit | Application_of_Aflasafe,6  Ongoing farm activity at the time of visit | Application_of_Pesticide,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_2,6  Ongoing farm activity at the time of visit | Urea_Application,6  Ongoing farm activity at the time of visit | SSP_Application,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_3,6  Ongoing farm activity at the time of visit | Harvesting,6  Ongoing farm activity at the time of visit | Drying_(To_eradicate_moisture),6  Ongoing farm activity at the time of visit | Winnowing,6  Ongoing farm activity at the time of visit | Bagging,6  Ongoing farm activity at the time of visit | Storage,6  Ongoing farm activity at the time of visit | extra
095ef284-6c7a-4e43-a21d-8eb3ff92257d,1,,,,,,1,,,,,,,,NasWXD347,18/06/2025 22:18,,1,,,,,,,,,,,,,,,,,,,,,,,
18f25373-00cd-4218-a651-b41cb3128379,1,,,,,,1,,,,,,,,NasWXD347,18/06/2025 22:21,,,,1,,,,,,,,,,,,,,,,,,,,,
9b1cab67-f678-4354-8355-0e3a32e543f5,,,1,,,,1,,,,,,,,NasWXD347,18/06/2025 22:24,,,,,1,,,,,,,,,,,,,,,,,,,,
b1d73597-28d5-4a1c-a2cd-7e8b891ab6fa,,,1,,,,1,,,,,,,,NasWXD347,18/06/2025 22:27,,,,,,1,,,,,,,,,,,,,,,,,,,
a119a203-8486-421d-b2ec-eac52f89871f,,,1,,,,1,,,,,,,,Nas0VVE18,18/06/2025 22:29,,,,,,,,1,,,,,,,,,,,,,,,,,
fb619f42-6ddd-4443-903e-185ff3a92ff3,,,1,,,,1,,,,,,,,NasWXD347,18/06/2025 22:36,,,,,,,,1,,,,,,,,,,,,,,,,,
1ed6fe31-aca8-440a-a3ce-30cae1c8a82c,,,1,,,,1,,,,,,,,Nas0VVE18,18/06/2025 22:38,,1,,,,,,,,,,,,,,,,,,,,,,,
356ba637-6646-440e-b271-877e5bb16ffa,,,1,,,,1,,,,,,,,Nas0VVE18,18/06/2025 22:40,,,,1,,,,,,,,,,,,,,,,,,,,,
7b432539-9fd9-4504-91ab-ac1b23042b6b,,,1,,,,1,,,,,,,,Nas0VVE18,18/06/2025 22:41,,,,,1,,,,,,,,,,,,,,,,,,,,
b6086a24-eda7-4ce1-8960-866e4688ba7b,,,1,,,,1,,,,,,,,Nas0VVE18,18/06/2025 22:43,,,,,,1,,,,,,,,,,,,,,,,,,,
28c31363-8f00-4053-99ea-47d93c6e5532,,,1,,,,1,,,,,,,,ObiYXSX37,19/06/2025 06:58,,1,,,,,,,,,,,,,,,,,,,,,,,
4949e065-cc3d-4666-bd0b-5c3d53f96f98,,,1,,,,1,,,,,,,,ObiYXSX37,19/06/2025 06:58,,,1,,,,,,,,,,,,,,,,,,,,,,
15ad0828-8aa4-401c-bc18-f3309068e448,1,,,,,,1,,,,,,,,JemY1BK28,21/06/2025 09:08,,,,1,,,,,,,,,,,,,,,,,,,,,
6a708cfb-0ccf-4851-bf42-0a97b386761a,,,1,,,,1,,,,,,,,JemY1BK28,21/06/2025 09:16,,,,,1,,,,,,,,,,,,,,,,,,,,
fc26d4c5-2800-47f0-9af3-03fb3a194eda,,,1,,,,1,,,,,,,,JemY1BK28,21/06/2025 09:18,,,,,,,,1,,,,,,,,,,,,,,,,,
34fdd5f7-a8ca-49bd-8c9f-aba9aacd2cbe,,,1,,,,1,,,,,,,,JemY1BK28,21/06/2025 09:22,,,,,,1,,,,,,,,,,,,,,,,,,,
de517438-b794-49d6-b1ae-852988b25928,,,,1,,,1,,,,,,,,Mar9SYX25,21/06/2025 10:32,,,,1,,,,,,,,,,,,,,,,,,,,,
5e012ded-a455-4e57-ba24-fc4799a54aca,,,,1,,,1,,,,,,,,Mar9SYX25,21/06/2025 11:03,,,,,,,1,,,,,,,,,,,,,,,,,,
694aee0c-91b9-4ba5-8fde-ca2bb9f91be8,,,,1,,,1,,,,,,,,Mar50L053,21/06/2025 11:34,,,,,1,,,,,,,,,,,,,,,,,,,,
0156d524-c6b4-4dd3-8a7b-a19afc068b02,,,,1,,,1,,,,,,,,Mar50L053,21/06/2025 11:43,,,,,,,1,,,,,,,,,,,,,,,,,,
bdfa676c-e5c9-4817-a43b-91e2b5f1b2d5,,,1,,,,1,,,,,,,,JemY1BK28,21/06/2025 11:49,,,,,,,,,,,,,1,,,,,,,,,,,,
9a2df6b3-b9c9-405f-b790-2de49f0515a8,1,,,,,,1,,,,,,,,JemIDJ157,21/06/2025 17:05,,1,,,,,,,,,,,,,,,,,,,,,,,
bff394f3-c465-413c-aee6-904ed5970e3d,,,1,,,,1,,,,,,,,Kad0N5Y18,21/06/2025 19:04,,,,,,,,,,,,,1,,,,,,,,,,,,
9ec675e1-8288-4e96-91d7-d291174c9be5,,,1,,,,1,,,,,,,,ChiVXR512,23/06/2025 08:41,,1,,,,,,,,,,,,,,,,,,,,,,,
