formid,Training_Date,Training_Title,EW_ID,Gender,Gender_and_Age,Disability_Status_class,State,LGA
9b295ee4-beff-4f43-acfd-ec5828b03464,2023-12-19,Comm._Partner_Registration,Akk01,Male,Male Youth,No disability,Gombe,Akko
a074a185-77c5-436a-96f9-703e6988de16,2023-12-18,Comm._Partner_Registration,Jah44,Female,Female Youth,No disability,Jigawa,Jahun
2c265dc1-b0e8-41d3-a661-6967ad7d7c74,2023-12-18,Comm._Partner_Registration,Jah45,Male,Male Youth,No disability,Jigawa,Jahun
eb590cfb-386d-4824-8805-15fbfa085f6e,2023-12-18,Comm._Partner_Registration,Jah46,Female,Female Youth,No disability,Jigawa,Jahun
6fb2e6d0-939e-4059-ae24-31bd1f7bea42,2023-12-19,Comm._Partner_Registration,Akk02,Female,Female Youth,No disability,Gombe,Akko
a2e13d2f-4e30-42c4-a38a-c7543793c8fb,2023-12-18,Comm._Partner_Registration,Jah47,Male,Male Youth,No disability,Jigawa,Jahun
4a2a2592-6a08-4330-aa8a-8097c907e556,2023-12-19,Comm._Partner_Registration,Akk03,Male,Male Youth,No disability,Gombe,Akko
c3c0c81b-e1be-4576-9aae-ce4221c52ad6,2023-12-18,Comm._Partner_Registration,Jah48,Female,Female Youth,No disability,Jigawa,Jahun
221de481-4dbc-49d7-96cb-21c7de5214b3,2023-12-18,Comm._Partner_Registration,Jah49,Male,Male Youth,No disability,Jigawa,Jahun
efd0e1b2-6f74-415e-88be-93e1ff181115,2023-12-18,Comm._Partner_Registration,Jah50,Male,Male Youth,No disability,Jigawa,Jahun
ed7607b4-5021-4c15-85ac-e426517330ca,2023-12-19,Comm._Partner_Registration,Akk04,Female,Female Youth,No disability,Gombe,Akko
64810536-2a8f-401c-bc50-bf9beccdff99,2023-12-19,Comm._Partner_Registration,Akk05,Male,Male Youth,No disability,Gombe,Akko
37a4e034-132b-4988-a029-0f061cec059a,2023-12-18,Comm._Partner_Registration,Jah51,Female,Female Youth,No disability,Jigawa,Jahun
148ad929-bc05-4d13-9b66-ba30eea4d24d,2023-12-19,Comm._Partner_Registration,Akk06,Male,Male Youth,Persons with disability,Gombe,Akko
f88e036d-25fd-4bb2-8928-da96fb954e80,2023-12-18,Comm._Partner_Registration,Jah52,Female,Female Youth,No disability,Jigawa,Jahun
23f951c7-3dd9-4c1b-bbac-883b15593328,2023-12-19,Comm._Partner_Registration,Kal12,Female,Female Youth,No disability,Gombe,Kaltungo
90ba6271-47a9-4941-b5cc-6d780be22269,2023-12-18,Comm._Partner_Registration,Jah53,Male,Male Youth,No disability,Jigawa,Jahun
b12868ca-5c63-4102-8420-69866f133a86,2023-12-19,Comm._Partner_Registration,Kal13,Male,Male Youth,No disability,Gombe,Kaltungo
2130cdc6-6c79-4891-b18b-a407ff312adc,2023-12-19,Comm._Partner_Registration,Ika11,Male,Male Youth,No disability,Kaduna,Ikara
2f7fd3ef-a62f-46d9-929e-db2141938a09,2023-12-18,Comm._Partner_Registration,Jah54,Male,Male Youth,No disability,Jigawa,Jahun
fed3fc82-127e-4567-849f-0796312362c5,2023-12-19,Comm._Partner_Registration,Kal14,Female,Female Youth,No disability,Gombe,Kaltungo
2edf8676-8b4d-4e91-bba3-9fdecc798829,2023-12-19,Comm._Partner_Registration,Ika12,Male,Male Youth,No disability,Kaduna,Ikara
9f0cc326-f83b-44e4-ad23-e90cb9395516,2023-12-19,Comm._Partner_Registration,Kal15,Female,Female Youth,No disability,Gombe,Kaltungo
404a17b7-844c-47ac-b457-2b56a87f64ed,2023-12-18,Comm._Partner_Registration,Jah55,Female,Female Youth,No disability,Jigawa,Jahun
fe0b3620-cb20-4a7d-bb14-f7b871eec196,2023-12-19,Comm._Partner_Registration,Kal16,Male,Male Youth,No disability,Gombe,Kaltungo
2c4e61b8-6326-4416-a75e-3b9e87513598,2023-12-19,Comm._Partner_Registration,Ika13,Male,Male Youth,No disability,Kaduna,Ikara
d4addc80-d3b1-429e-a1a9-c137a5a55d13,2023-12-18,Comm._Partner_Registration,Jah56,Female,Female Youth,No disability,Jigawa,Jahun
a729dddb-5440-44f6-a1e9-769d189c2fd6,2023-12-19,Comm._Partner_Registration,Ika14,Male,Male Youth,No disability,Kaduna,Ikara
57b1455f-2c4c-4c30-b435-39df5aa47702,2023-12-18,Comm._Partner_Registration,Jah57,Female,Female Youth,No disability,Jigawa,Jahun
3f87f82c-f1df-4c8c-8da6-5a43265f346c,2023-12-19,Comm._Partner_Registration,Kal17,Female,Female Youth,No disability,Gombe,Kaltungo
47f11206-969b-478c-9e27-7a8d82ecb745,2023-12-19,Comm._Partner_Registration,Kal18,Female,Female Youth,No disability,Gombe,Kaltungo
9736cba8-4a21-4167-a6b6-89c1c5a6551a,2023-12-19,Comm._Partner_Registration,Ika15,Male,Male Youth,No disability,Kaduna,Ikara
5b0ee866-1d65-411f-acb0-a0e0c2e92f9e,2023-12-18,Comm._Partner_Registration,Jah58,Male,Male Youth,No disability,Jigawa,Jahun
51257263-8352-4a64-9a83-b47e9675105b,2023-12-19,Comm._Partner_Registration,Ika16,Male,Male Youth,No disability,Kaduna,Ikara
c9a6e229-986f-4c01-bff9-2114ad44cb63,2023-12-19,Comm._Partner_Registration,Kal19,Female,Female Youth,No disability,Gombe,Kaltungo
04a3a62a-7721-418b-a69a-20e1f05799ff,2023-12-18,Comm._Partner_Registration,Jah59,Male,Male Youth,No disability,Jigawa,Jahun
e1d898d1-6f03-448e-bb07-b9a5c1e022ee,2023-12-19,Comm._Partner_Registration,Ika17,Male,Male Youth,No disability,Kaduna,Ikara
bcca3182-dbb6-461b-8a1b-069de8f1f84c,2023-12-19,Comm._Partner_Registration,Kwa29,Male,Male Youth,No disability,Gombe,Kwami
b01cc247-bc64-404e-bdd1-69234478e6f5,2023-12-19,Comm._Partner_Registration,Ika18,Male,Male Youth,No disability,Kaduna,Ikara
1dc6879a-d0d3-401e-bf42-a4a8dc3ce20f,2023-12-18,Comm._Partner_Registration,Jah60,Female,Female Youth,No disability,Jigawa,Jahun
53b294f4-2e0e-4006-8950-8f42b5832e58,2023-12-19,Comm._Partner_Registration,Sha01,Male,Male Youth,No disability,Gombe,Shongom
1b70dc50-7e62-42d8-8cc8-6f6a4647d51d,2023-12-19,Comm._Partner_Registration,Sha02,Male,Male Youth,No disability,Gombe,Shongom
853f699e-eabe-446a-84dc-aead5f363796,2023-12-19,Comm._Partner_Registration,Ika19,Male,Male Youth,No disability,Kaduna,Ikara
c6c5bd30-d984-4e27-b879-136c21547def,2023-12-18,Comm._Partner_Registration,Jah61,Male,Male Youth,No disability,Jigawa,Jahun
543254de-9419-413b-8fe7-bbab09a5d41a,2023-12-19,Comm._Partner_Registration,Sha03,Female,Female Youth,No disability,Gombe,Shongom
1883afe7-b05e-45ef-9599-938b4941f2e1,2023-12-19,Comm._Partner_Registration,Ika20,Male,Male Youth,No disability,Kaduna,Ikara
cdc85a92-5bdb-41b7-98b3-d070170da720,2023-12-18,Comm._Partner_Registration,Jah62,Female,Female Youth,No disability,Jigawa,Jahun
14bd21a1-6721-4d3f-bc3c-de595a70b913,2023-12-19,Comm._Partner_Registration,Ika21,Male,Male Youth,No disability,Kaduna,Ikara
65ae3c0c-433b-4f65-84ce-3867ae342ca1,2023-12-19,Comm._Partner_Registration,Ika22,Male,Male Youth,No disability,Kaduna,Ikara
5932a914-6463-42f1-8000-24033e242f81,2023-12-18,Comm._Partner_Registration,Jah63,Male,Male Youth,No disability,Jigawa,Jahun
373232ed-72aa-4701-8ed0-5f632cfc2f4c,2023-12-19,Comm._Partner_Registration,Ika23,Female,Female Youth,No disability,Kaduna,Ikara
8bff061e-afd5-465d-95fa-13e2747daf63,2023-12-19,Comm._Partner_Registration,Ika24,Female,Female Youth,No disability,Kaduna,Ikara
8a5685d4-bf98-4cd9-a30e-76266a8889e6,2023-12-18,Comm._Partner_Registration,Jah64,Male,Male Youth,No disability,Jigawa,Jahun
54657758-8435-4f22-b574-2d14851d5299,2023-12-19,Comm._Partner_Registration,Ika25,Female,Female Youth,No disability,Kaduna,Ikara
cab057a2-2309-4735-9517-8f1790988f67,2023-12-19,Comm._Partner_Registration,Sha04,Female,Female Youth,No disability,Gombe,Shongom
7a8e5bd1-99c5-4bbd-9dc1-cef59aa5c204,2023-12-19,Comm._Partner_Registration,Ika26,Female,Female Youth,No disability,Kaduna,Ikara
09590c27-2fee-4cef-83cb-07d12a4147d2,2023-12-18,Comm._Partner_Registration,Jah65,Male,Male Youth,No disability,Jigawa,Jahun
90730de6-a102-4814-b052-5329918f5de6,2023-12-18,Comm._Partner_Registration,Jah66,Male,Male Youth,No disability,Jigawa,Jahun
25b0c534-3250-440b-bb06-308cb12a5346,2023-12-19,Comm._Partner_Registration,Ika27,Female,Female Youth,No disability,Kaduna,Ikara
b9b10814-9d3a-4587-8923-93f72050a2b4,2023-12-19,Comm._Partner_Registration,Sha05,Female,Female Youth,No disability,Gombe,Shongom
88f7b9c4-c4ff-4a5c-8b5b-495023063844,2023-12-19,Comm._Partner_Registration,Ika28,Female,Female Youth,No disability,Kaduna,Ikara
35ebe40e-bbaa-45e3-8f10-5f5401aeec9e,2023-12-19,Comm._Partner_Registration,Sha06,Male,Male Youth,No disability,Gombe,Shongom
e5544d75-4746-4e5f-af05-d62c88d5e927,2023-12-18,Comm._Partner_Registration,Jah67,Male,Male Youth,No disability,Jigawa,Jahun
